stride, size, friendly, unfriendly
10,  8388608, 13639816,   43872760
10,  8388608, 13673415,   42663882
10,  8388608, 13630147,   42927930
10,  8388608, 13620133,   40724320
10,  8388608, 13655348,   43391370
10, 16777216, 27273906,   91554088
10, 16777216, 27282581,   90719466
10, 16777216, 27295516,   90831253
10, 16777216, 27276217,   91471379
10, 16777216, 27259313,   91066541
10, 33554432, 54559107,  189224053
10, 33554432, 54547844,  186548626
10, 33554432, 54569104,  186613108
10, 33554432, 54567949,  187814312
10, 33554432, 54544099,  187671956
11,     4096,     6564,       6997
11,     4096,     6533,       7007
11,     4096,     6524,       6992
11,     4096,     6546,       6988
11,     4096,     6524,       6988
11,     8192,    33413,      13859
11,     8192,    13003,      13872
11,     8192,    13006,      13858
11,     8192,    13008,      13856
11,     8192,    13015,      13858
11,    16384,    25977,      27604
11,    16384,    25999,      27584
11,    16384,    25975,      27600
11,    16384,    25987,      27584
11,    16384,    25978,      27599
11,    32768,    51924,      55839
11,    32768,    51909,      55865
11,    32768,    51921,      55855
11,    32768,    51910,      55892
11,    32768,    51910,      55869
11,    65536,   103793,     111324
11,    65536,   103841,     111506
11,    65536,   103802,     111568
11,    65536,   103802,     111243
11,    65536,   103794,     111472
11,   131072,   207572,     225539
11,   131072,   207559,     232493
11,   131072,   207556,     225098
11,   131072,   207561,     225047
11,   131072,   207551,     225331
11,   262144,   415071,     468538
11,   262144,   442311,     469046
11,   262144,   415041,     468264
11,   262144,   415041,     468849
11,   262144,   415039,     473829
11,   524288,   830309,     937161
11,   524288,   835758,     936552
11,   524288,   830015,     948742
11,   524288,   830014,     936014
11,   524288,   835540,     937302
11,  1048576,  1682799,    2036173
11,  1048576,  1690778,    2011053
11,  1048576,  1666638,    2027072
11,  1048576,  1686836,    2509570
11,  1048576,  1665692,    2019109
11,  2097152,  3431568,    8687791
11,  2097152,  3409530,    8767569
11,  2097152,  3427095,    8938799
11,  2097152,  3406874,    8755316
11,  2097152,  3409364,    8864030
11,  4194304,  6894439,   19376536
11,  4194304,  6825019,   21420413
11,  4194304,  6829459,   25195119
11,  4194304,  7049494,   24931478
11,  4194304,  6889947,   29043178
11,  8388608, 13663349,   51809643
11,  8388608, 13666626,   44704273
11,  8388608, 13654908,   45932237
11,  8388608, 13631539,   44712863
11,  8388608, 13652485,   47278698
11, 16777216, 27257788,  100629596
11, 16777216, 27316810,   99031451
11, 16777216, 27301343,  101047279
11, 16777216, 27295782,   99632357
11, 16777216, 27277841,  100455268
11, 33554432, 54547765,  205634057
11, 33554432, 54596030,  207824291
11, 33554432, 54695135,  206816209
11, 33554432, 54729100,  205470343
11, 33554432, 54577829,  205652671
12,     4096,     6563,       6997
12,     4096,    26058,      22657
12,     4096,    17769,      19019
12,     4096,    17729,      18976
12,     4096,    17709,      18950
12,     8192,    35378,      37539
12,     8192,    35306,      37542
12,     8192,    35351,      37539
12,     8192,    35303,      37539
12,     8192,    35328,      37540
12,    16384,    70658,      74767
12,    16384,    70518,      74758
12,    16384,    70548,      74827
12,    16384,    70504,      74759
12,    16384,   144503,      74981
12,    32768,   140914,     152091
12,    32768,   140924,     153575
12,    32768,   140894,     153210
12,    32768,   140950,     153288
12,    32768,   140898,     153349
12,    65536,   281759,     306592
12,    65536,   281784,     305859
12,    65536,   294445,     305215
12,    65536,   288697,     319448
12,    65536,   281780,     304502
12,   131072,   563592,     626546
12,   131072,   563358,     613089
12,   131072,   563395,     613701
12,   131072,   332257,     227163
12,   131072,   207572,     227061
12,   262144,   415265,     479588
12,   262144,   415042,     478065
12,   262144,   415059,     477801
12,   262144,   415061,     478608
12,   262144,   415036,     478030
12,   524288,   830880,     958982
12,   524288,   830106,     970953
12,   524288,   829976,     956942
12,   524288,   835502,     958689
12,   524288,   829998,     963461
12,  1048576,  1669078,    2056473
12,  1048576,  1676694,    2042490
12,  1048576,  1665749,    2059233
12,  1048576,  1718415,    2060544
12,  1048576,  1676335,    2039386
12,  2097152,  3409060,   10852306
12,  2097152,  3440097,    9925720
12,  2097152,  3423669,    9872969
12,  2097152,  3428597,    9540969
12,  2097152,  3408983,    9841136
12,  4194304,  6855545,   23192366
12,  4194304,  6819644,   28926323
12,  4194304,  6822212,   23162720
12,  4194304,  6828016,   28644861
12,  4194304,  6831157,   26137233
12,  8388608, 13770429,   46219139
12,  8388608, 13648145,   49920949
12,  8388608, 17519603,   69911301
12,  8388608, 13718174,   55728655
12,  8388608, 13642997,   49824252
12, 16777216, 27305432,  110462660
12, 16777216, 27348561,  108932390
12, 16777216, 27348771,  110515621
12, 16777216, 27265621,  108785863
12, 16777216, 27267681,  113934911
12, 33554432, 54618520,  224900255
12, 33554432, 54553790,  225707161
12, 33554432, 54572314,  226341972
12, 33554432, 54593444,  223932793
12, 33554432, 54588695,  225507125
13,     4096,     6575,       7032
13,     4096,     6531,       7039
13,     4096,     6526,       7021
13,     4096,     6544,       7022
13,     4096,     6523,       7021
13,     8192,    13015,      13905
13,     8192,    13001,      13905
13,     8192,    33375,      13915
13,     8192,    13006,      13908
13,     8192,    13011,      13906
13,    16384,    25985,      27711
13,    16384,    25984,      27685
13,    16384,    25996,      27699
13,    16384,    25978,      27725
13,    16384,    25988,      27725
13,    32768,    51909,      56274
13,    32768,    51940,      56386
13,    32768,    51910,      56413
13,    32768,    51921,      56504
13,    32768,    51910,      56504
13,    65536,   103804,     112538
13,    65536,   103815,     112310
13,    65536,   103796,     112643
13,    65536,   103815,     112580
13,    65536,   103815,     112481
13,   131072,   207554,     231419
13,   131072,   207551,     258207
13,   131072,   207559,     231165
13,   131072,   207547,     231200
13,   131072,   207556,     231437
13,   262144,   415031,     488668
